"","job_titles","Position","Agency","Job.Category","Closes","job_descriptions","links"
"101","#SGUnitedJobs Enforcement Officer","#SGUnitedJobs Enforcement Officer","Singapore Tourism Board","Investigation, Others","23 Oct 2020"," You will be involved in the enforcement of Safe Distancing Measures / Safe Management Measures in the tourism precincts / attractions / hotels, etc that STB oversees. The role of the enforcement officer is to conduct ground operations on breaches of the Covid-19 (Temporary Measures) (Control Order) Regulations, establish the facts and circumstances of breaches and put up reports for further investigation and enforcement action. You are also required to administer enforce action against offenders on the spot and handle appeals from companies. This is a public facing role and you will be expected to spend time outdoors on the ground.   Job Description You will be responsible for the following areas: Conduct ground enforcement on breaches of Covid-19 regulations Carry out statement recording and evidence gathering Administer enforcement actions Put up investigation reports Handle appeals from companies   Requirements You should have enforcement and investigation experience and are comfortable in a public-facing role. You should be resourceful and have the capability to engage and manage potential offenders in a firm but service-oriented manner. Ability to write and analyse information would be required, as you will be called upon to handle appeal cases and conduct investigations. ","https://careers.pageuppeople.com/688/cwlive/en/job/544961/sgunitedjobs-enforcement-officer"
"102","Sector Development Officer / Senior Sector Development Officer / Assistant Manager (Sector Development Team), CIC/RPG","Sector Development Officer / Senior Sector Development Officer / Assistant Manager (Sector Development Team), CIC/RPG","Ministry of Social and Family Development","Social and Community Development","8 Oct 2020"," Responsibilities In Singapore, vulnerable children who are removed from their natural parents/guardians due to abuse, neglect or abandonment are placed in the care of foster parents, kin carers and children’s home. The Children in Care Service (CIC) oversees the out-of-home care sector and works closely with various partners to develop services for these children. We work hard to support these children in growing up well, and these children inspire us to do better and more. You will play a key role in transforming the out-of-home care sector, through the conceptualisation and development of new services. We are working to grow family-based care services (such as fostering), while strengthening the residential care sector to better serve the different needs of children. Our challenges are innovating to meet the changing needs and risks of children, and the constant push to improve existing programmes for better outcomes. The work ranges from service conceptualisation, policy development, programme evaluation and strategic planning for the sector. You will be exposed to industry development and analysis, programme design, and drafting of funding and service models. You will work with our operations teams, as well as across the MSF departments and other public service agencies. You will also have opportunities to engage with our children’s homes and fostering agencies. You will be joining the team in an exciting new phrase of our work, as we review our existing programmes and chart the direction going forward. You will work closely with the operations team to identify systemic issues and develop feasible ideas. We look forward to having you onboard! Competencies Excellent conceptualization, analytical and problem-solving skills Excellent writing skills, to create succinct analysis and recommendations Experience in policy or service development area of work will be advantageous Experience and aptitude in statistical and data analysis will be advantageous Self-motivated, driven by a desire to make a difference to vulnerable children and families Able to work independently in a fast-paced environment, and adaptable Hands-on team player, with good interpersonal and negotiation skills ","https://careers.pageuppeople.com/688/cwlive/en/job/544963/sector-development-officer-senior-sector-development-officer-assistant-manager-sector-development-team-cicrpg"
"103","#SGUnitedJobs Assistant Director/Senior Assistant Director (Supervision & Investigation), OPG/FDG","#SGUnitedJobs Assistant Director/Senior Assistant Director (Supervision & Investigation), OPG/FDG","Ministry of Social and Family Development","Social and Community Development","8 Oct 2020"," As Senior Assistant Director, you will oversee OPG’s Supervision & Investigation (S&I) team, specifically to carry out the function of safeguarding interests of persons who lack mental capacity through supervising court-appointed deputies and investigating into alleged abuse of such persons.   Responsibilities a) Overseeing a team of executives in the supervision of court-appointed deputies and investigation into alleged abuse of persons without mental capacity b) Review and strengthen S&I’s operations and processes, including: policy and approach for supervision of deputies and investigation into alleged abuse/fraud; streamlining work processes, development of SOPs, standard report/letter templates and forms etc.; developing performance tracking system; and building data and knowledge management system (for data management and analytics, record of precedent decisions, profiling and fraud detection, risk management etc.) c) Design and implement solutions to improve customer experience, operational efficiency and collaboration/partnership with stakeholders etc. d) Build capacity and skillsets, and manpower deployment ----------------------------------------------------- As Assistant Director, you will assist the Senior Assistant Director in overseeing OPG’s Supervision & Investigation (S&I) team, specifically to carry out the function of safeguarding interests of persons who lack mental capacity through supervising court-appointed deputies and investigating into alleged abuse of such persons.   Responsibilities a) Assist in overseeing a team of executives in the supervision of court-appointed deputies and investigation into alleged abuse of persons without mental capacity b) Review and strengthen S&I’s operations and processes, including: policy and approach for supervision of deputies and investigation into alleged abuse/fraud; streamlining work processes, development of SOPs, standard report/letter templates and forms etc.; developing performance tracking system; and building data and knowledge management system (for data management and analytics, record of precedent decisions, profiling and fraud detection, risk management etc.) c) Design and implement solutions to improve customer experience, operational efficiency and collaboration/partnership with stakeholders etc. d) Build capacity and skillsets, and manpower deployment ---------------------------------------------------------------- Requirements Tertiary qualification, preferably in financial accounting or law  Self-driven and meticulous with strong analytical skills Strong interpersonal, speaking and writing skills Able to work independently and with a team/lead a team Proficient in MS office CPA/ CFE / CIA professional certification would be an advantage For AD position, at least 6 years of working experience in accounting / auditing / compliance Experience in fraud detection and prevention, data analytics and case management would be an advantage.  For SAD position, at least 8 years of experience in fraud detection and prevention  Good Interviewing skills and techniques Familiar with data analytics software ","https://careers.pageuppeople.com/688/cwlive/en/job/544965/sgunitedjobs-assistant-directorsenior-assistant-director-supervision-investigation-opgfdg"
"104","ASSOCIATE LECTURER (DAY CLASS, PART-TIME) – FURNITURE AND LIFESTYLE PRODUCT DEVELOPMENT","ASSOCIATE LECTURER (DAY CLASS, PART-TIME) – FURNITURE AND LIFESTYLE PRODUCT DEVELOPMENT","Ngee Ann Polytechnic","Education","9 Oct 2020"," At least 5 years of relevant work experience in designing and developing Furnishing and Lifestyle products. Experience in Human Centered Innovation and Design Thinking Methodology to develop furniture/furnishing related products. Proficient in 2D and 3D visualizing skills which include Procreate, Adobe Suite, Rhino, Sketchup.  Possess a nurturing mindset with passion for working with young adults and mature learners and a team player with strong presentation, communication and visualization skills.  Candidates should be competent to plan, develop and teach modules in the following areas: Current furnishing and interior trends Designing, manufacturing and commercializing products related to lifestyle, furniture and carpentry Furniture Construction, Materials and Technology Human-Centered Approach in furniture and lifestyle product innovation As an Associate Lecturer, you will prepare and update teaching materials and conduct lectures, tutorials and workshops. You will set and mark assignments, quizzes, common tests, term projects and examinations related to the module(s) assigned and keep records of student attendance and grades. You will also support student learning and development through student consultations and mentoring. Check out the details of the position and submit online at Careers@Gov. Be part of an institution with that something xtra. ","https://careers.pageuppeople.com/688/cwlive/en/job/544966/associate-lecturer-day-class-parttime-furniture-and-lifestyle-product-development"
"105","#Public Service #SGUnitedJobs #WSIP - Child Welfare Officer (CPS)","#Public Service #SGUnitedJobs #WSIP - Child Welfare Officer (CPS)","Ministry of Social and Family Development","Social and Community Development","2 Oct 2020"," The Work and Skills Immersion Programme (WSIP) in MSF is targeted at jobseekers who are keen in the social service sector. Under this programme, successful applicants will be placed on a non-renewable 2-year contract, and can look forward to a development programme consisting of: MSF orientation and foundational programmes to gain a good understanding of the social service landscape, including our local social compact, the network of stakeholders in the sector and available assistance schemes. Domain-specific training, including in-house programmes and courses by the Social Service Institute, to develop professional competencies required for the roles that hires play in strengthening families, protecting the vulnerable and building a more inclusive society; and/or Hands-on experience with casework and projects, including partnership with social service agencies and other organisations in the sector to deliver our social services.   Looking for a workplace with passion and commitment to empower and restore lives of the vulnerable population in Singapore? Join the Rehabilitation and Protection Group (RPG)!  As part of the RPG family, the Child Protective Service (CPS) is a statutory service and it leads in child protection policies and processes to safeguard the safety and well-being of children and young persons in Singapore. The science and art of our work remain very much firmly rooted on keeping children safe from harm, working in partnership with families and stakeholders such as the schools, hospitals and other community partners.    Responsibilities Reporting to the Assistant Manager/Manager, your role is to: assess the suitability of adoption applicants and investigate youths referred by the Courts for beyond parental control work in collaboration with a network of sector professionals As an Officer, you will: conduct social investigations and day-to-day assessments prepare social reports and affidavits to the Court contribute meaningfully to multi-disciplinary case discussions   Functional/Technical Competencies  Tertiary qualifications Experience in working with vulnerable children and families or with investigative experience in social service settings is an added advantage Generic Competencies  Able to work calmly in highly stressful situations and environment Be tenacious and resilient in handling difficult situations/clients High level of emotional resilience Good engagement, assessment, problem solving and multi-tasking skills Good analytical and critical thinking abilities Enjoy teamwork ","https://careers.pageuppeople.com/688/cwlive/en/job/544967/public-service-sgunitedjobs-wsip-child-welfare-officer-cps"
"106","[MAS] #SGUnitedJobs Deputy Director / Assistant Director, Policy Surveillance (2-year contract)","[MAS] #SGUnitedJobs Deputy Director / Assistant Director, Policy Surveillance (2-year contract)","Monetary Authority of Singapore","Others","9 Oct 2020"," JOB DESCRIPTION  The Prudential Policy Department develops capital and liquidity standards, oversees MAS’ policies on housing loans, unsecured credit, resolution and the deposit insurance scheme. The department also reviews MAS’ policy on banking structures and strengthens the regulatory frameworks for banks, merchant banks, finance companies and financial holding companies. In this role, you will be driving MAS’ policy surveillance efforts and building systematic/automated frameworks and tools to do so. In the course of monitoring and assessing the effectiveness of MAS’ policies and regulatory standards, you will have opportunities to work closely with bank supervisors, interact with local and international banks, as well as conduct data analysis to support the department’s policy formulation work.  JOB REQUIREMENTS  • Familiar with Basel III and/or local banking regulations • Strong analytical skills and keen interest in prudential policy issues.• Self-motivated, driven, strong team player.• Experience in data analytics and coding is a plus. ","https://careers.pageuppeople.com/688/cwlive/en/job/544968/mas-sgunitedjobs-deputy-director-assistant-director-policy-surveillance-2year-contract"
"107","Senior RPA Engineer (System)","Senior RPA Engineer (System)","Land Transport Authority","InfoComm, Technology, New Media Communications, Engineering","8 Oct 2020"," You will be responsible for the life cycle management of the RPA platform including the system security and operations. The role requires you to work with a combination of tools including VBA, Python, etc that will support the system administration, system security and governance, operations and maintenance of the platform. You will support the enterprise RPA deployments, implementation and operations on the Government Commercial Cloud and ensure the delivery guidelines are put in place for the bots integration testing, release management and production support. You will be leading projects to identify and explore suitable technologies and solutions, as well as designing IT application architectures to meet organizational needs. In your role, you will need to be customer oriented, understand business domain needs and be able to communicate well with different groups of stakeholders. You will also manage vendor for the associated project and ensure that the vendor meets contractual obligations, conduct UI/UX design, technical requirements analysis, non-functional testing and IT security vulnerabilities assessment leading to successful delivery of the project. Skills includes understanding of RPA scripts, design thinking methodology, Agile framework, DevSecOps, microservices and cloud-based technologies. This position will provide opportunities to take on projects of other technologies, thus expanding your technical skills, experience and know-how. Requirements: -• Tertiary qualification in IT, Engineering or related discipline • Experience of setting up, managing and maintaining RPA environment • Strong working knowledge in the usage and functionality of the RPA software preferably UIPath, Automation Anywhere, Blue Prism (Minimum 2- 3 years)• Knowledge of Python, SQL, VBA and PowerShell scripting• Knowledge of Public Clouds, Systems Security, WebApp & SQL Server, Active Directory, CyberArk and DevOps will be a plus• Robotics Process Automation (RPA) experience (strategy, deployment, maintenance production support)• Strong analytical, communication, leadership and presentation• Ability to work collaboratively in a cross functional team• Strong facilitation and executive communication (written & verbal) skills required ","https://careers.pageuppeople.com/688/cwlive/en/job/544969/senior-rpa-engineer-system"
"108","Senior Manager/ Manager/ Assistant Manager (Infrastructure & Connectivity Policy) #PublicService","Senior Manager/ Manager/ Assistant Manager (Infrastructure & Connectivity Policy) #PublicService","Ministry of Communications and Information","Others, Policy Formulation","8 Oct 2020"," Job Responsibilities: Our goal is to create a conducive regulatory environment to support Singapore’s digital economy ambitions. To achieve this, you will work closely with the Infocomm Media Development Authority (IMDA) and other stakeholders in areas such as: Developing and reviewing regulatory policies to enhance the quality, resilience and pervasiveness of Singapore’s digital connectivity infrastructure; Ensuring that competition and consumer protection policies for the telecom, broadcast media and postal sectors remain effective and sustainable; Ensuring that Singapore continues to have a balanced and effective data protection regime for the private sector; and Formulating strategies for emerging areas like AI governance and digital utilities. Job Requirements: Excellent writing skills, analytical skills and mental agility Strong interpersonal skills and teamwork Comfortable dealing with ambiguities Work experience in public policy or in infocomm media industry would be advantageous Background in Engineering, Law, Public Policy or Economics would be advantageous General interest in infocomm and media, data protection and/or technology governance issues   For more information on careers in MCI, please access the following link: http://www.mci.gov.sg/careers-grants/job-vacancies Please note that only shortlisted candidates will be notified. ","https://careers.pageuppeople.com/688/cwlive/en/job/544971/senior-manager-manager-assistant-manager-infrastructure-connectivity-policy-publicservice"
"109","Assistant Director (Digital Marketing)","Assistant Director (Digital Marketing)","Info-communications Media Development Authority","Public Relations/Corporate Communications/Psychology","30 Oct 2020"," Responsibilities Lead the Digital Marketing Team to: Conceptualise, develop and implement new content strategies for IMDA’s social media channels and website news portal by working with both internal and external stakeholders. Drive IMDA’s narratives and key messaging across IMDA’s social media channels and website news portal to create impactful storytelling for IMDA brand and initiatives to intended audience. Manage the full spectrum of responsibilities pertaining to social media engagement – developing compelling content, managing queries from the public, issues/crisis management, Manage the IMDA website and affiliated micro-sites, by working with stakeholders to ensure that content is up-to-date and relevant. Support the digital marketing needs of the Communications and Marketing Division (CMD), including advising on Search Engine Marketing (SEM) and Search Engine Optimisation (SEO) strategies, track Manage 3rd party vendors to track and analyse mainstream and social media landscapes and trends, for reporting to Management. Supervise the administrative processes for the team, which includes procurement of services and managing budgets. Requirements Background in Mass Communications, Marketing, Business Administration or its equivalent. Minimum 8 years of relevant experience in marketing communications, corporate communications, public relations and/or journalism; preferably with experience leading a team for at least 2-3 years Strong understanding of both mainstream and social media channels and trends, with a track record in developing and implementing integrated communications and marketing plans for high-impact initiatives. Excellent writing skills and content creation for social media and website news stories. Resourceful and creative - able to generate ideas for stories and narratives for social media, including video and Instagram/Facebook stories. Good project and stakeholder management skills. Strategic thinker with ability to understand the ‘big picture’ and to develop/align communications plans to effect positive outcomes Detail oriented. Ability to navigate and perform in fast-paced and dynamic environments Keen awareness of trending topics and conversations, prevailing public sentiments and possess good acumen for issues sensing and political sensitivity. Experience in managing 3rd party agencies/vendors/suppliers. Adaptable to changes, and strong ability to perform and deliver under pressure. Natural sense of curiosity and interest in infocomm media related fields is an added advantage   The position will commensurate with experience Only short-listed candidates will be notified ","https://careers.pageuppeople.com/688/cwlive/en/job/544990/assistant-director-digital-marketing"
"110","[#SGUnitedJobs] Career Matching Services Executive (1 year Contract) [Partners and Operations Division)","[#SGUnitedJobs] Career Matching Services Executive (1 year Contract) [Partners and Operations Division)","Workforce Singapore","Administration Support",NA," Job Description - Career Matching Services Executive (1 year contract) The Career Connect Group in Workforce Singapore (WSG) drives workforce centric programmes, tools and resources to strengthen jobseekers’ employment outcomes and career resilience of various worker segments as well as provide career matching services to the local workforce.  To extend WSG’s reach to local Professionals, Managers, Executives and Technicians (PMET) jobseekers and minimise missed matches in the labour market, WSG has introduced a suite of Adapt and Grow initiatives and has expanded our overall capacity to serve local jobseekers who are unemployed and actively looking for jobs, or seeking career transitions and professional career guidance. We are seeking to hire 2 executives to manage the outreach and sign-ups for WSG’s Career Matching Services (CMS) 2 CMS Executives reporting to Manager/ Senior Manager of Partners and Operations Division (POD)   Responsibilities  1. Contact active jobseekers via phone calls, WhatsApp, SMS, and email to: Provide information about WSG’s suite of Career Matching Services including physical touch points jobseekers can approach for employment related services; Gather jobseekers’ employment-related details and key these details in WSG’s system; Provide further follow-up such as appointment dates/times etc. with jobseekers over email; and Provide information on SGUnited Jobs and Skills initiatives 2. Contact current and past jobseekers registered with WSG over phone and email to gather/follow-up on their feedback 3. Track outcomes of the above and provide regular status updates Requirements Skills:  Familiar with Excel - the executives will need to filter, pivot, and vlookup (on-the-job guidance will be provided if necessary). Familiar with Microsoft Outlook, SMS, and Whatsapp Strong verbal and written communication skills, fluent in English and 1 mother tongue Experience with any Robotics Processing Automation software is a bonus - the executive will need to run Uipath software (on-the-job guidance will be provided). Attitudes/Attributes Independent, fast, keen learner Must like communicating with others (verbal and written) Meticulous and detail-oriented ","https://careers.pageuppeople.com/688/cwlive/en/job/544995/sgunitedjobs-career-matching-services-executive-1-year-contract-partners-and-operations-division"
"111","#SGUnitedJobs Associate UX Designer (DCUBE - ICA)","#SGUnitedJobs Associate UX Designer (DCUBE - ICA)","Government Technology Agency","InfoComm, Technology, New Media Communications","6 Nov 2020"," Team Intro The Government Digital Services (GDS) Team aims to spearhead the digital transformation of government. We are a team of technologists in GovTech that aims to design and develop software applications that help government agencies better serve the needs of Singaporeans. We adopt an Agile development approach and work towards adopting tech best practices and cutting edge tools. Our team in GDS aims to improve lives by empowering change with the right technologies and better user experience.  How do we work? Job Overview We have built a scrum team of technologists who have developed digital products to improve citizen's experience of using the agency's e-services.As a UX designer, you will work with our scrum team and other government agencies to inform product and design decisions. You will get to influence the digital experience of the agency’s e-services. This will involve having good interpersonal skill, sharp analytical mind, and astute design judgment. You will work closely with our designers, engineers, and product managers to continuously deliver features for transforming citizen experience and improving agency efficiency.  This is an associate level role, which sits with the project scrum team, as a member of the UX team in Dcube (GDS). The office will be located at Hive, Sandcrawler Building.    What to Expect: Within your first month...  You have understood the overall product roadmap and vision for the various project tracks, did a stock take on the UX status of the project, and contributed design screens for concurrent active sprints.  By the end of 3 months... You should have run an inception, gathered requirements, co-create with stakeholders and scrum team, tested and delivered UI screens for a brand new project track. After 6 months... You will have proposed enhancements for the existing tracks, in collaboration with designers, engineers, and product managers. Beyond that... You will continue to solve problems such as:  How can we... •    create a seamless experience for citizen across e-services•    provide citizen with the timely information•    help citizen complete the service with ease•    resolve the agency pain point and improve ops efficiencyHow to Succeed: Delivery centric mindset •    You need to be able to grasp the use case and come up with the task flows in a short span of time•    You are able to propose and present the most ideal design for users, yet anchoring the design proposal with project constraints in consideration•    You are collaborative and understand that a product that is co-created with the team and stakeholders will have the highest chance of being the best product•    You find the quickest route to design, test, and ship a design prototype to 'prove' a concept. Be agile and lean•    You are data-driven yourself, with experience in user research, in order to use data to justify design decisions•    Scrum experience is valuable, but not a must Technologist at work •    You are able to translate user research into design recommendations and findings•    You contribute to the design system and ensure UI standards are met •    Frontend development knowledge is a bonus Strategist at heart •    Able to comprehend and communicate well. •    Be flexible, be a team player, solve problems, and contribute to the UX and product team's success. Preferred (Additional Requirement) •    At least 3 years of relevant experience in production, working on end-to-end delivery. That would include experience in facilitating workshops, gathering requirements, usability testing, envisioning flows, and delivering hi-fidelity mockups. ","https://careers.pageuppeople.com/688/cwlive/en/job/544996/sgunitedjobs-associate-ux-designer-dcube-ica"
"112","Technical Project Manager, Performance Technology","Technical Project Manager, Performance Technology","Sport Singapore","InfoComm, Technology, New Media Communications","9 Oct 2020"," Sport Singapore (SportSG) is a statutory board under Ministry of Culture, Community and Youth. We aspire to transform the nation through an active lifestyle designed around innovative, fun and meaningful sporting experiences. We believe that everyone can live better through sport. Through our programmes and services, SportSG aims to bring people together through play, regardless of age, gender, race, ability or social status, imparts life values, nurtures character and builds resilience and strengthens our national identity. We are looking for highly motivated team player to transform and deliver technical solutions that will make an impact to the everyday life of citizens.   Job Responsibilities ·       Reports to the Deputy Director and collaborate with other Technical Service Consultants in delivering services and projects. ·       Designs and reviews proposed Infrastructure requirements for the new Sports Centers. ·       Leads the Infrastructure architecture design, integration and acceptance, and infrastructure performance testing. ·       Manages the infrastructure services that enable the application systems environment ·       Proposes productivity tools, new technologies for experimentation. ·       Reviews process to automate some mundane tasks (e.g. writing of scripts – added advantage). ·       Performs on-boarding processes (design, setup, configuration, implementation, testing and commissioning of infrastructure components). ·       Develops Infrastructure and Systems standard operating procedures (SOPs) and User guides. ·       Manages Incident and Problem Management on areas not covered in standard operating procedures. ·       Has experience in system architecture, resource planning, infrastructure performance and system hosting environment from server hardware till OS layer (including Virtualization technology and Storage) in support of new applications. ·       Strong understanding of systems operations environment to ensure smooth and sustainable operations, including resiliency requirements. ·       Performs invoice/payment processing, budget forecast and expenditure tracking. ·       Has experience in Project Governance Management, such as patch management, asset management. Examples, maintaining System Register, Contract Register, Inventory Register, Access Rights Coordination, Repository matters - File/eFile, collating and tracking of project documents as well as raising and tracking of Service/Change Requests.   Job Requirements ·       Minimum 8 years’ relevant experience in IT with at least 3-5 years in managing IT Projects ·       Certified in ITILv3 and preferably a certification in project management ·       Team player with strong organization and interpersonal skills   ·       Good analytical skills, and ability to apply this in resolving issues ·       Excellent written, verbal communication, presentation and negotiation skills   ·       Demonstrate integrity and drive for excellence in work   The level of offer will commensurate with applicants’ experience and track records. Successful candidates will be offered a 2/3- year contract in the first instance. ","https://careers.pageuppeople.com/688/cwlive/en/job/544997/technical-project-manager-performance-technology"
"113","Operations Officer, Operations Development and Readiness (ODR), Homefront Crisis Coordination Centre (HCCC)","Operations Officer, Operations Development and Readiness (ODR), Homefront Crisis Coordination Centre (HCCC)","Ministry of Home Affairs","Administration Support, Others","9 Oct 2020"," The Ministry of Home Affairs (MHA) aspires to be a world-class organization in delivering safety and security for our people. In pursuing our mission to make Singapore our Safe and Secure Best Home, we remain always constant and true to our core values of Honour and Unity.   Job Scope / Key Deliverables: The Operations Officer (OO) assists Senior Assistant Director, ODR to enhance the HCCC operational capability and readiness by managing projects relating to HCCC. The OO is required to work closely with various agencies to ensure HCCC is equipped with the essential sense making tools to aid HCCC in situational awareness and decision-making process.   Principal Accountabilities OO ODR will be handling the daily operational development and coordination matters. OO ODR will need to ensure the operational readiness and maintenance of mission-critical systems which have to be in working order at all times. During systems failure, OO ODR need to engage different vendor/system owners and coordinate the effort required to rectify the problems timely. OO ODR will need to constantly scan for emerging crisis and the corresponding systems required for HCCC to conduct early detection and monitoring. OO ODR has to proactively identify and implement procedures to sustain and enhance HCCC's operational system requirements. The OO ODR will need to make recommendations on systems that meet HCCC's operational needs based on the information gathered. OO ODR is required to handle the procurement for the systems identified by HCCC. OO ODR is responsible for managing projects/assignments related to enhancing operational processes/capabilities by working with staff from HTDs/HFAs and vendors.   Requirements on Competency and Experience Good communication and interpersonal skills as a substantial part of the work lies in being able to engage and network at all levels. Resourceful, independent learner, thinker and driver. Takes initiative and works well with others. Possesses good analytical acumen. Good IT-related technical skills and procurement knowledge Meticulous in planning Demonstrate leadership and vision in managing projects or initiatives. Able to work under tight timeline.   All new appointees will be appointed on a two-year contract in the first instance.   We wish to inform that only shortlisted candidates will be notified within 30 days upon closing of advertisement. ","https://careers.pageuppeople.com/688/cwlive/en/job/544998/operations-officer-operations-development-and-readiness-odr-homefront-crisis-coordination-centre-hccc"
"114","Senior Associate, Enterprise Services (2 Year contract)","Senior Associate, Enterprise Services (2 Year contract)","Enterprise Singapore","Marketing/Business Development, Others","9 Oct 2020"," Responsibilities Work with Trade Associations & Chambers (TAC) to strengthen communication programmes and outreach  to their members on ESG and government programmes on covid-19 recovery, capability development and internationalisation Manage new activities that will include better engagement of the media for delivery of content via online channels. Create new content including success stories of companies and SMEs that have made headway in their business transformation journey in the post-covid and revamping their existing printed business periodicals to go online and engage new users/ potential new members Support TAC’s internal capability development to plan, develop, and implement effective digital strategies for social media accounts to drive campaigns across digital platforms such as Facebook, Instagram, Linkedin and Youtube To be deployed to TAC over full duration of the programme Requirements Have a bachelor’s degree in Marketing and/or related fields Have relevant work experience (2 years or more) in corporate communications and/or public relations, conducting social media campaigns Proficiency in Mandarin or Malay languages essential for engaging with Chinese or Malay TAC respectively We seek individuals who are driven, able to thrive under pressure and have an interest in working with partners such as TACs In addition, you should possess excellent verbal and written communication, customer service and stakeholder management skills, and have the ability to work independently and as a team player. ","https://careers.pageuppeople.com/688/cwlive/en/job/544999/senior-associate-enterprise-services-2-year-contract"
"115","Office of Student Support - Senior Executive/Assistant Manager/Deputy Manager/Manager (Administration)","Office of Student Support - Senior Executive/Assistant Manager/Deputy Manager/Manager (Administration)","Republic Polytechnic","Administration Support, Education","23 Oct 2020"," The successful job applicant will support the main administrative functions in the area of student care, and work with staff, students and community agencies to provide support for students’ mental health and social-emotional development. Responsibilities • Support the main administrative functions of Student Care Services • Support the administration and data analysis of the annual student survey and ICARE Award• Work with school management team to strengthen the student mentorship and care services• Support and plan for training programmes and campaigns for the student mentoring and peer support network• Develop and/or make available mental health resources for students and staff mentors• Networking with relevant external professionals and community agencies Requirements • Relevant academic qualifications (relevant degree in administration, social work, education etc) with at least 4 years of working experience (prior work experience in the area of student care and services would be an advantage)• Must be resourceful and be able to work independently• Strong in administrative and communication skills (spoken and written)• Strong in interpersonal skills and a good team player• IT savvy and proficient in Microsoft Excel, Word, PowerPoint, Access and SharePoint ","https://careers.pageuppeople.com/688/cwlive/en/job/545000/office-of-student-support-senior-executiveassistant-managerdeputy-managermanager-administration"
"116","#SGUnitedJobs Software Engineer (DCUBE-DSP)","#SGUnitedJobs Software Engineer (DCUBE-DSP)","Government Technology Agency","InfoComm, Technology, New Media Communications","6 Nov 2020"," You’ll be working on Digital Service Platform, which consists of an ecosystem of supporting software services to help craft and implement e-services for agencies in a reusable and rapid fashion. Services such as file uploads, file scanning, otp services are some examples of the supporting services you will be working on. You will be part of the Central Engineering Team which apart from developing the digital service platform handles common libraries, modules and templates which are used by multiple projects in the government. The Central Engineering Team is also focused on improving engineering craft and takes the CI/CD process seriously. In our team, we constantly look at the existing processes and find ways to make it better.    What to Expect:  Design and think beyond serving one product and to write code that is able to reused across multiple systems   Write code that is clean and maintainable   Practice code reviews   Tackle a wide variety of challenges across the technical stack   Participate in regular tech-sharing sessions and team retrospectives   You’ll be part of the Government Digital Services team, which means you’ll have opportunities down the line to work on a range of other products that utilise various technologies. We choose languages and frameworks that best fit the product we’re building. Other technologies we use in GDS include Node.js, TypeScript, React, React Native, Ruby on Rails, Golang and Kotlin.    How To Succeed:  Solid programming fundamentals   Experience developing applications using ReactJS or NodeJS. Minimally, you should be interested in diving into this and picking it up.   Experience in Commercial Cloud development/infrastructure will be a bonus   Experience in Devops and CI/CD process will be a bonus (Kubernetes, Jenkins etc)   Practice code reviews   Tackle a wide variety of challenges across the technical stack   Familiarity with software engineering best practices   Strong analytical and problem-solving skills   Learning agility. Given the speed of change, a hunger for learning is essential   Be a team player with good communication skills   Have the desire to serve the public through the use of technology   Possess a healthy discontent with the status quo, and an itch to improve things ","https://careers.pageuppeople.com/688/cwlive/en/job/545001/sgunitedjobs-software-engineer-dcubedsp"
